"","Grup","Casa2Test","Casa2Ex","Taller3","Taller7"
"1",1,7.3,6.8,5.5,2
"2",1,4.4,4.3,8,3
"3",1,6.2,6.1,6,6.5
"4",1,2.6,2.1,0.5,5
"5",1,5.3,1.4,NA,2
"6",1,4.4,6.1,NA,4.5
"7",1,3.3,NA,6.5,NA
"8",1,8.3,5.4,6,6.5
"9",1,5.6,6.4,5,9
"10",1,8.3,7.1,6.5,4
"11",1,6.7,7.5,NA,3.5
"12",1,6.4,5.4,3,8
"13",1,8.7,7.5,3,8
"15",1,7.8,5.4,0,0.5
"16",1,6.7,7.1,2,2
"17",1,4.4,6.1,5,9
"18",1,3.3,2.9,3,3
"19",1,7.6,5.4,6,5
"20",1,4.4,3.6,3,3
"21",1,6.7,7.5,1,4
"22",1,7.2,8.6,3.5,2
"23",1,5.6,NA,5.5,2
"24",1,5.7,2.1,3.5,5
"25",1,6.7,5.4,4,8.5
"26",1,5,6.4,4,9
"27",1,6.7,7.9,4,8.5
"28",1,2.4,5,3.5,NA
"29",1,7.2,8.9,3.5,2
"30",1,6.4,4.4,0,1.5
"31",1,7.8,8.6,4.5,8.5
"32",1,NA,5.7,2,NA
"33",1,5.6,6.8,8,3
"34",1,8.7,7.9,NA,6
"35",1,7.2,7.5,3,7.5
"36",1,6.7,6.1,4,9
"37",1,NA,NA,3,8
"39",1,7.6,9.3,5.5,9
"40",1,4.8,5.4,NA,9
"41",1,7.8,7.1,4.5,8.5
"42",1,6.4,6.1,NA,8.5
"43",1,7,7.1,1,7
"44",1,NA,NA,0,NA
"45",1,8.7,8.6,NA,6
"46",1,6.7,7.1,6,6
"47",1,4.4,4.3,3,7.5
"48",1,4.4,NA,0.5,NA
"50",2,NA,NA,3,NA
"52",2,3.1,5.6,2,4
"53",2,6.7,4.6,7,1.5
"54",2,5.1,2.5,3,NA
"55",2,7.8,4.2,3.5,NA
"56",2,6.4,6,2.5,1
"57",2,4.4,7.2,NA,4
"58",2,2.2,5.4,3.5,NA
"60",2,6.7,5,4,NA
"61",2,4.2,6.5,7,4
"62",2,NA,NA,1.5,NA
